timestamp,ue,off_ul_bps,off_dl_bps,ach_ul_bps,ach_dl_bps
1780487722.299,vue10,3027100,330850,3202632,9352
1780487723.301,vue10,3027100,330850,3027104,15608
1780487724.302,vue10,3027100,330850,3027096,9320
1780487725.305,vue10,3027100,330850,3027104,16280
1780487726.307,vue10,3027100,330850,3027096,16088
1780487727.311,vue10,3027100,330850,3027104,8872
1780487728.314,vue10,3027100,330850,3027648,16232
1780487729.318,vue10,3027100,330850,3102096,8464
1780487730.32,vue10,3027100,330850,3027096,16376
1780487731.322,vue10,3025100,328850,3027016,8648
1780487732.323,vue10,3025100,328850,3025112,9024
1780487733.324,vue10,3025100,328850,3025096,10664
1780487734.325,vue10,3025100,328850,3025096,1064
1780487735.329,vue10,3025100,328850,3025096,8552
1780487736.331,vue10,3025100,328850,3025112,1640
1780487737.333,vue10,3025100,328850,3025568,1632
1780487738.337,vue10,3025100,328850,3025128,9608
1780487739.339,vue10,3025100,328850,3025096,1064
1780487740.344,vue10,3025100,328850,3100104,1520
1780487741.345,vue10,3025100,328850,3025096,0
1780487742.346,vue10,3025100,328850,3025104,1544
1780487743.348,vue10,3025100,328850,3025096,1144
1780487744.35,vue10,3025100,328850,3025104,1536
1780487745.353,vue10,3025100,328850,3025600,2024
1780487746.358,vue10,3025100,328850,3025096,1048
1780487747.36,vue10,3025100,328850,3025112,8080
1780487748.362,vue10,3025100,328850,3025096,0
1780487749.364,vue10,3025100,328850,3025096,0
1780487750.365,vue10,3025100,328850,3025096,8656
1780487751.373,vue10,3001250,305000,3098224,2672
1780487752.374,vue10,3001250,305000,3001248,0
1780487753.376,vue10,3001250,305000,3001248,15104
1780487754.377,vue10,3001250,305000,3001248,96
1780487755.379,vue10,3001250,305000,3001256,0
1780487756.382,vue10,3001250,305000,3001248,208
1780487757.386,vue10,3001250,305000,3001248,200
1780487758.388,vue10,3001250,305000,3001248,304
1780487759.389,vue10,3001250,305000,3001256,96
1780487760.39,vue10,3001250,305000,3001248,104
1780487761.396,vue10,3001250,305000,3076272,104
1780487762.399,vue10,3001250,305000,3001256,0
1780487763.401,vue10,3001250,305000,3001248,7808
1780487764.406,vue10,3001250,305000,3001248,192
1780487765.408,vue10,3001250,305000,3001248,208
1780487766.41,vue10,3001250,305000,3001256,96
1780487767.412,vue10,3001250,305000,3001248,0
1780487768.414,vue10,3001250,305000,3001272,296
1780487769.416,vue10,3001250,305000,3001248,288
1780487770.418,vue10,3001250,305000,3001256,192
1780487771.419,vue10,3001250,305000,3076248,7904
1780487772.423,vue10,3001250,305000,3001248,296
1780487773.425,vue10,3001250,305000,3001248,96
1780487774.428,vue10,3001250,305000,3001256,208
1780487775.433,vue10,3001250,305000,3001272,200
1780487776.435,vue10,3001250,305000,3001248,96
1780487777.438,vue10,3001250,305000,3001256,96
1780487778.443,vue10,3001250,305000,3001248,408
1780487779.444,vue10,3001250,305000,3076248,200
1780487780.445,vue10,3001250,305000,3001248,96
1780487781.446,vue10,3101250,330000,3011256,9656
1780487782.447,vue10,3001250,305000,3091248,192
1780487783.45,vue10,3001250,305000,3001248,200
1780487784.453,vue10,3001250,305000,3001248,296
1780487785.455,vue10,3001250,305000,3001280,96
1780487786.459,vue10,3001250,305000,3001248,392
1780487787.462,vue10,3001250,305000,3001248,312
1780487788.464,vue10,3001250,305000,3001248,208
1780487789.47,vue10,3001250,305000,3076256,296
1780487790.472,vue10,3001250,305000,3001248,208
1780487791.473,vue10,3001250,305000,3001272,304
1780487792.474,vue10,3001250,305000,3001256,496
1780487793.476,vue10,3001250,305000,3001248,296
1780487794.477,vue10,3001250,305000,3001248,208
1780487795.48,vue10,3001250,305000,3001248,104
1780487796.483,vue10,3001250,305000,3001256,200
1780487797.485,vue10,3001250,305000,3001248,400
1780487798.487,vue10,3001250,305000,3001248,400
1780487799.488,vue10,3001250,305000,3001248,400
1780487800.489,vue10,3001250,305000,3001256,296
1780487801.491,vue10,3001250,305000,3001248,104
1780487802.494,vue10,3001250,305000,3076272,400
1780487803.496,vue10,3001250,305000,3001248,7696
1780487804.497,vue10,3001250,305000,3001256,408
1780487805.499,vue10,3001250,305000,3001248,504
1780487806.501,vue10,3001250,305000,3001248,0
1780487807.503,vue10,3001250,305000,3001248,0
1780487808.504,vue10,3001250,305000,3001256,0
1780487809.508,vue10,3001250,305000,3001248,0
1780487810.513,vue10,3001250,305000,3001272,0
1780487811.515,vue10,3001250,305000,3001256,0
1780487812.516,vue10,3001250,305000,3001248,0
1780487813.519,vue10,3001250,305000,3076248,0
1780487814.522,vue10,3001250,305000,3001248,0
1780487815.525,vue10,3001250,305000,3001256,0
1780487816.527,vue10,3001250,305000,3001248,0
1780487817.53,vue10,3001250,305000,3001248,0
1780487818.533,vue10,3001250,305000,3001272,0
1780487819.536,vue10,3001250,305000,3001256,0
1780487820.537,vue10,3001250,305000,3001248,0
1780487821.538,vue10,3001250,305000,3001248,0
1780487822.54,vue10,3001250,305000,3001248,0
1780487823.544,vue10,3001250,305000,3076256,0
1780487824.546,vue10,3001250,305000,3001248,0
1780487825.549,vue10,3001250,305000,3001248,0
1780487826.553,vue10,3001250,305000,3001280,0
1780487827.557,vue10,3001250,305000,3001248,0
1780487828.559,vue10,3001250,305000,3001248,0
1780487829.564,vue10,3003250,307000,3002648,400
1780487830.567,vue10,3003250,307000,3003256,0
1780487831.568,vue10,3003250,307000,3078248,0
1780487832.573,vue10,3027100,330850,3017584,12384
1780487833.575,vue10,3027100,330850,3027096,0
1780487834.578,vue10,3027100,330850,3027104,0
1780487835.58,vue10,3027100,330850,3027104,0
1780487836.582,vue10,3027100,330850,3027608,0
1780487837.584,vue10,3027100,330850,3027104,0
1780487838.587,vue10,3027100,330850,3027104,0
1780487839.587,vue10,3025100,328850,3025656,0
1780487840.589,vue10,3025100,328850,3025096,0
1780487841.59,vue10,9125100,63850,4845104,0
1780487842.592,vue10,9025100,38850,9105104,0
1780487843.594,vue10,9025100,38850,9025120,0
1780487844.597,vue10,9025100,38850,9250096,0
1780487845.599,vue10,9025100,38850,9025112,0
1780487846.601,vue10,9025100,38850,9025096,0
1780487847.605,vue10,9025100,38850,9025576,0
1780487848.608,vue10,9025100,38850,9025096,0
1780487849.61,vue10,9025100,38850,9025104,0
1780487850.613,vue10,9025100,38850,9025104,0
1780487851.615,vue10,9025100,38850,9025120,0
1780487852.617,vue10,9025100,38850,9025096,0
1780487853.619,vue10,9025100,38850,9025104,0
1780487854.621,vue10,9025100,38850,9250104,0
1780487855.624,vue10,9025100,38850,9025568,0
1780487856.628,vue10,9025100,38850,9025104,0
1780487857.63,vue10,9025100,38850,9025104,0
1780487858.633,vue10,9025100,38850,9025120,0
1780487859.635,vue10,9025100,38850,9025096,0
1780487860.638,vue10,9025100,38850,9025112,0
1780487861.64,vue10,9025100,38850,9025096,0
1780487862.642,vue10,9001250,15000,9009360,0
1780487863.644,vue10,9001250,15000,9226248,0
1780487864.646,vue10,9001250,15000,9001256,0
1780487865.648,vue10,9001250,15000,9001248,0
1780487866.652,vue10,3001250,305000,6751248,0
1780487867.654,vue10,3001250,305000,3001272,0
1780487868.655,vue10,3001250,305000,3001256,0
1780487869.661,vue10,3001250,305000,3001248,0
1780487870.662,vue10,3001250,305000,3001248,0
1780487871.664,vue10,3001250,305000,3001248,0
1780487872.667,vue10,3001250,305000,3001256,0
1780487873.669,vue10,3001250,305000,3001248,0
1780487874.672,vue10,3001250,305000,3076248,0
1780487875.676,vue10,3001250,305000,3001280,0
1780487876.679,vue10,3001250,305000,3001248,0
1780487877.684,vue10,3001250,305000,3001248,0
1780487878.686,vue10,3001250,305000,3001248,0
1780487879.689,vue10,3001250,305000,3001256,0
1780487880.691,vue10,3001250,305000,3001248,0
1780487881.694,vue10,3001250,305000,3001272,0
1780487882.694,vue10,3001250,305000,3001248,0
1780487883.7,vue10,3001250,305000,3076256,0
1780487884.704,vue10,3001250,305000,3001248,0
1780487885.708,vue10,3001250,305000,3001248,0
1780487886.716,vue10,3001250,305000,3001280,0
1780487887.719,vue10,3001250,305000,3001248,0
1780487888.723,vue10,3001250,305000,3076248,0
1780487889.726,vue10,3001250,305000,3001248,0
1780487890.729,vue10,3001250,305000,3001256,0
1780487891.731,vue10,3001250,305000,3001248,0
1780487892.735,vue10,3001250,305000,3001272,0
1780487893.737,vue10,3001250,305000,3001248,0
1780487894.739,vue10,3001250,305000,3001256,0
1780487895.742,vue10,3001250,305000,3001248,0
1780487896.745,vue10,3001250,305000,3076248,0
1780487897.746,vue10,3001250,305000,3001248,0
1780487898.748,vue10,3001250,305000,3001256,0
1780487899.75,vue10,3001250,305000,3001248,0
1780487900.752,vue10,3001250,305000,3001248,0
1780487901.753,vue10,3101250,330000,3031248,0
1780487902.757,vue10,3001250,305000,3071280,0
1780487903.76,vue10,3001250,305000,3001248,0
1780487904.763,vue10,3001250,305000,3001248,0
1780487905.766,vue10,3001250,305000,3001256,0
1780487906.768,vue10,3001250,305000,3001248,0
1780487907.771,vue10,3001250,305000,3076248,0
1780487908.773,vue10,3025100,328850,3004608,0
1780487909.775,vue10,3025100,328850,3025104,0
1780487910.778,vue10,3025100,328850,3025576,0
1780487911.781,vue10,3025100,328850,3025096,0
1780487912.785,vue10,3025100,328850,3025104,0
1780487913.786,vue10,3025100,328850,3025104,0
1780487914.789,vue10,3025100,328850,3025096,0
1780487915.791,vue10,3025100,328850,3025096,0
1780487916.796,vue10,3025100,328850,3100136,0
1780487917.797,vue10,3025100,328850,3025096,0
1780487918.799,vue10,3025100,328850,3025576,0
1780487919.802,vue10,3025100,328850,3025096,0
1780487920.803,vue10,3025100,328850,3025104,0
1780487921.805,vue10,3025100,328850,3025096,0
1780487922.81,vue10,3025100,328850,3025104,0
1780487923.812,vue10,3025100,328850,3025096,0
1780487924.816,vue10,3025100,328850,3025128,0
1780487925.821,vue10,3025100,328850,3100576,0
1780487926.822,vue10,3025100,328850,3025096,0
1780487927.824,vue10,3025100,328850,3025104,0
1780487928.826,vue10,3025100,328850,3025104,0
1780487929.827,vue10,3025100,328850,3025096,0
1780487930.832,vue10,3025100,328850,3025096,0
1780487931.834,vue10,3025100,328850,3025136,0
1780487932.839,vue10,3025100,328850,3025568,0
1780487933.842,vue10,3025100,328850,3025104,0
1780487934.844,vue10,3025100,328850,3025096,0
1780487935.847,vue10,3025100,328850,3100104,0
1780487936.852,vue10,3025100,328850,3025096,0
1780487937.855,vue10,3025100,328850,3025128,0
1780487938.856,vue10,3001250,305000,3019848,0
1780487939.859,vue10,3001250,305000,3001256,0
1780487940.861,vue10,3001250,305000,3001248,0
1780487941.863,vue10,3001250,305000,3001248,0
1780487942.863,vue10,3001250,305000,3001248,0
1780487943.865,vue10,3001250,305000,3001256,0
1780487944.868,vue10,3001250,305000,3001248,0
1780487945.871,vue10,3001250,305000,3076248,0
1780487946.876,vue10,3001250,305000,3001280,0
1780487947.881,vue10,3001250,305000,3001248,0
1780487948.886,vue10,3001250,305000,3001248,0
1780487949.888,vue10,3001250,305000,3001248,0
1780487950.891,vue10,3001250,305000,3001256,0
1780487951.892,vue10,3001250,305000,3001248,0
1780487952.894,vue10,3001250,305000,3001272,0
1780487953.895,vue10,3003250,307000,3002968,0
1780487954.897,vue10,3003250,307000,3078256,0
1780487955.9,vue10,3003250,307000,3003248,0
1780487956.902,vue10,3003250,307000,3003248,0
1780487957.907,vue10,3003250,307000,3003248,0
1780487958.909,vue10,3003250,307000,3003296,0
1780487959.91,vue10,3003250,307000,3003248,0
1780487960.911,vue10,3003250,307000,3003248,0
1780487961.913,vue10,3103250,332000,3043280,0
1780487962.915,vue10,3003250,307000,3063248,0
1780487963.919,vue10,3001250,305000,3001488,0
1780487964.92,vue10,3001250,305000,3076248,0
1780487965.924,vue10,3001250,305000,3001256,0
1780487966.927,vue10,3001250,305000,3001248,0
1780487967.93,vue10,3001250,305000,3001248,0
1780487968.934,vue10,3001250,305000,3001272,0
1780487969.938,vue10,3001250,305000,3001256,0
1780487970.941,vue10,3001250,305000,3001248,0
1780487971.946,vue10,3001250,305000,3076248,0
1780487972.948,vue10,3001250,305000,3001248,0
1780487973.95,vue10,3001250,305000,3001256,0
1780487974.951,vue10,3001250,305000,3001248,0
1780487975.954,vue10,3001250,305000,3001272,0
1780487976.955,vue10,3001250,305000,3001256,0
1780487977.958,vue10,3001250,305000,3001248,0
1780487978.96,vue10,3001250,305000,3001248,0
1780487979.964,vue10,3001250,305000,3001248,0
1780487980.966,vue10,3001250,305000,3001256,0
1780487981.968,vue10,3001250,305000,3001248,0
1780487982.973,vue10,3001250,305000,3076272,0
1780487983.974,vue10,3001250,305000,3001248,0
1780487984.975,vue10,3001250,305000,3001256,0
1780487985.977,vue10,3001250,305000,3001248,0
1780487986.978,vue10,9001250,15000,7201248,0
1780487987.981,vue10,9001250,15000,9001248,0
1780487988.982,vue10,9001250,15000,9001256,0
1780487989.984,vue10,9001250,15000,9001248,0
1780487990.986,vue10,9001250,15000,9001248,0
1780487991.988,vue10,9001250,15000,9001248,0
1780487992.989,vue10,9001250,15000,9001256,0
1780487993.992,vue10,9001250,15000,9001248,0
1780487994.995,vue10,9001250,15000,9001272,0
1780487995.999,vue10,9001250,15000,9226256,0
1780487997.001,vue10,9001250,15000,9001248,0
1780487998.002,vue10,9001250,15000,9001248,0
1780487999.004,vue10,9025100,38850,9014128,0
1780488000.007,vue10,9025100,38850,9025104,0
1780488001.012,vue10,9025100,38850,9025096,0
1780488002.014,vue10,9025100,38850,9025600,0
1780488003.016,vue10,9025100,38850,9025104,0
1780488004.018,vue10,9025100,38850,9025104,0
1780488005.02,vue10,9025100,38850,9025096,0
1780488006.023,vue10,9025100,38850,9250096,0
1780488007.029,vue10,9025100,38850,9025104,0
1780488008.033,vue10,9025100,38850,9025104,0
1780488009.041,vue10,9025100,38850,9025600,0
1780488010.041,vue10,9025100,38850,9025096,0
1780488011.044,vue10,9025100,38850,9025104,0
1780488012.047,vue10,3025100,328850,4600096,0
1780488013.049,vue10,3025100,328850,3025104,0
1780488014.05,vue10,3025100,328850,3025096,0
1780488015.053,vue10,3025100,328850,3025128,0
1780488016.055,vue10,3025100,328850,3025576,0
1780488017.062,vue10,3025100,328850,3025096,0
1780488018.066,vue10,3025100,328850,3025104,0
1780488019.068,vue10,3025100,328850,3025104,0
1780488020.071,vue10,3025100,328850,3025096,0
1780488021.073,vue10,3025100,328850,3100120,0
1780488022.078,vue10,3125100,353850,3075584,0
1780488023.081,vue10,3025100,328850,3075096,0
1780488024.082,vue10,3025100,328850,3025104,0
1780488025.087,vue10,3025100,328850,3025096,0
1780488026.095,vue10,3025100,328850,3025128,0
1780488027.098,vue10,3025100,328850,3100576,0
1780488028.102,vue10,3025100,328850,3025096,0
1780488029.105,vue10,3001250,305000,3009840,0
1780488030.106,vue10,3001250,305000,3001256,0
1780488031.109,vue10,3001250,305000,3001248,0
1780488032.112,vue10,3001250,305000,3001248,0
1780488033.114,vue10,3001250,305000,3001280,0
1780488034.117,vue10,3001250,305000,3001248,0
1780488035.119,vue10,3001250,305000,3001248,0
1780488036.121,vue10,3001250,305000,3001248,0
1780488037.123,vue10,3001250,305000,3076256,0
1780488038.124,vue10,3001250,305000,3001248,0
1780488039.127,vue10,3001250,305000,3001248,0
1780488040.13,vue10,3001250,305000,3001248,0
1780488041.131,vue10,3001250,305000,3001256,0
1780488042.134,vue10,3001250,305000,3001272,0
1780488043.136,vue10,3001250,305000,3001248,0
1780488044.138,vue10,3001250,305000,3001248,0
1780488045.14,vue10,3001250,305000,3001256,0
1780488046.142,vue10,3001250,305000,3001248,0
1780488047.145,vue10,3001250,305000,3001248,0
1780488048.146,vue10,3001250,305000,3076248,0
1780488049.148,vue10,3001250,305000,3001256,0
1780488050.15,vue10,3001250,305000,3001248,0
1780488051.153,vue10,3001250,305000,3001272,0
1780488052.156,vue10,3001250,305000,3001256,0
1780488053.16,vue10,3001250,305000,3001248,0
1780488054.162,vue10,3001250,305000,3001248,0
1780488055.163,vue10,3001250,305000,3001248,0
1780488056.163,vue10,3001250,305000,3001256,0
1780488057.165,vue10,3001250,305000,3001248,0
1780488058.166,vue10,3001250,305000,3001248,0
1780488059.17,vue10,3001250,305000,3001248,0
1780488060.173,vue10,3001250,305000,3076280,0
1780488061.175,vue10,3001250,305000,3001224,0
1780488062.178,vue10,3001250,305000,3001272,0
1780488063.18,vue10,3001250,305000,3001248,0
1780488064.182,vue10,3001250,305000,3001256,0
1780488065.186,vue10,3001250,305000,3001248,0
1780488066.187,vue10,3001250,305000,3001248,0
1780488067.188,vue10,3001250,305000,3001248,0
1780488068.189,vue10,3001250,305000,3001256,0
1780488069.193,vue10,3001250,305000,3001272,0
1780488070.195,vue10,3001250,305000,3001248,0
1780488071.196,vue10,3001250,305000,3076256,0
1780488072.197,vue10,3001250,305000,3001248,0
1780488073.199,vue10,3001250,305000,3001248,0
1780488074.203,vue10,3001250,305000,3001248,0
1780488075.207,vue10,3001250,305000,3001256,0
1780488076.21,vue10,3001250,305000,3001248,0
1780488077.212,vue10,3001250,305000,3001248,0
1780488078.214,vue10,3001250,305000,3001272,0
1780488079.215,vue10,3001250,305000,3001256,0
1780488080.217,vue10,3001250,305000,3001248,0
1780488081.221,vue10,3001250,305000,3076248,0
1780488082.223,vue10,3101250,330000,3058744,0
1780488083.225,vue10,3001250,305000,3043760,0
1780488084.227,vue10,3001250,305000,3001248,0
1780488085.228,vue10,3001250,305000,3001248,0
1780488086.23,vue10,3003250,307000,3001768,0
1780488087.234,vue10,3003250,307000,3003280,0
1780488088.243,vue10,3003250,307000,3003288,0
1780488089.245,vue10,3003250,307000,3003248,0
1780488090.246,vue10,3003250,307000,3078256,0
1780488091.249,vue10,3003250,307000,3003248,0
1780488092.25,vue10,3003250,307000,3003248,0
1780488093.251,vue10,3003250,307000,3003248,0
1780488094.253,vue10,3027100,330850,3009456,0
1780488095.255,vue10,3027100,330850,3027120,0
1780488096.26,vue10,3025100,328850,3026536,0
1780488097.26,vue10,3025100,328850,3025096,0
1780488098.262,vue10,3025100,328850,3025112,0
1780488099.263,vue10,3025100,328850,3025096,0
1780488100.264,vue10,3025100,328850,3025096,0
1780488101.266,vue10,3025100,328850,3025096,0
1780488102.267,vue10,3025100,328850,3025112,0
1780488103.27,vue10,3025100,328850,3025576,0
1780488104.271,vue10,3025100,328850,3100096,0
1780488105.273,vue10,3025100,328850,3025128,0
1780488106.274,vue10,3025100,328850,3025096,0
1780488107.275,vue10,3025100,328850,3025080,0
1780488108.276,vue10,3025100,328850,3025120,0
1780488109.278,vue10,3025100,328850,3025104,0
1780488110.28,vue10,3025100,328850,3025096,0
1780488111.284,vue10,3025100,328850,3025104,0
1780488112.287,vue10,3025100,328850,3025096,0
1780488113.288,vue10,3025100,328850,3025584,0
1780488114.291,vue10,3025100,328850,3025096,0
1780488115.293,vue10,3025100,328850,3025120,0
1780488116.295,vue10,3025100,328850,3025096,0
1780488117.297,vue10,3025100,328850,3100112,0
1780488118.299,vue10,3025100,328850,3025096,0
1780488119.303,vue10,3025100,328850,3025096,0
1780488120.305,vue10,3025100,328850,3025096,0
1780488121.308,vue10,3025100,328850,3025112,0
1780488122.312,vue10,3025100,328850,3025576,0
1780488123.314,vue10,3025100,328850,3025120,0
1780488124.319,vue10,3001250,305000,3017472,0
1780488125.323,vue10,3001250,305000,3076248,0
1780488126.324,vue10,3001250,305000,3001248,0
1780488127.327,vue10,3001250,305000,3001248,0
1780488128.33,vue10,3001250,305000,3001256,0
1780488129.334,vue10,3001250,305000,3001272,0
1780488130.338,vue10,3001250,305000,3001248,0
1780488131.342,vue10,9001250,15000,3301248,0
1780488132.344,vue10,9001250,15000,9001256,0
1780488133.347,vue10,9001250,15000,9001248,0
1780488134.349,vue10,9001250,15000,9226248,0
1780488135.351,vue10,9001250,15000,9001248,0
1780488136.354,vue10,9001250,15000,9001280,0
1780488137.358,vue10,9001250,15000,9001248,0
1780488138.36,vue10,9001250,15000,9001248,0
1780488139.364,vue10,9001250,15000,9001256,0
1780488140.368,vue10,9001250,15000,9001248,0
1780488141.371,vue10,9001250,15000,9001248,0
1780488142.38,vue10,9101250,40000,9293768,0
1780488143.381,vue10,9001250,15000,9033760,0
